a,b,r,n,observed
arousal,intensity,0.665963,140,true
arousal,loudness,0.736039,140,true
arousal,danceability,0.122769,140,true
arousal,pulse_clarity,0.484641,140,true
danceability,pulse_clarity,0.447798,140,true
danceability,rhythmic_stability,0.659374,140,true
pulse_clarity,rhythmic_stability,0.588676,140,true
brightness,centroid,0.548363,140,true
brightness,roll_off,0.895989,140,true
brightness,flatness,0.414028,140,true
music_speech,vocal_instrumental,-0.10816,140,true
event_density,complexity,0.193391,140,true
event_density,intensity,0.399865,140,true
dissonance,valence,0.070598,140,true
articulation,danceability,0.544937,140,true
